SIGUNGU,housing_cat,satis,sex,owning,cluster,occupy,num_of_room,num_of_livingroom,num_of_kitchen,area,income
20,2.0,3.0,3.0,0.0,0.0,3,2.0,1.0,0.0,15.0,200
20,2.0,3.0,3.0,1.0,2.0,1,2.0,1.0,0.0,10.32,0
20,2.0,3.0,2.0,0.0,2.0,3,1.0,1.0,0.0,6.0,150
20,2.0,3.0,2.0,0.0,2.0,3,2.0,1.0,0.0,10.0,70
20,2.0,3.0,3.0,0.0,3.0,3,2.0,1.0,0.0,14.0,500
20,2.0,2.0,3.0,0.0,3.0,2,3.0,1.0,0.0,18.0,400
20,2.0,3.0,2.0,0.0,2.0,2,2.0,1.0,0.0,15.0,0
20,2.0,3.0,1.0,0.0,2.0,2,2.0,1.0,0.0,15.0,0
20,2.0,3.0,3.0,0.0,3.0,2,3.0,1.0,0.0,20.0,500
20,2.0,3.0,3.0,0.0,2.0,3,2.0,1.0,0.0,13.0,200
14,4.0,2.0,3.0,1.0,2.0,1,3.0,1.0,0.0,24.0,50
14,4.0,3.0,2.0,1.0,2.0,1,3.0,1.0,0.0,24.0,0
14,4.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,24.0,400
14,4.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,24.0,200
14,4.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,24.0,150
14,4.0,2.0,3.0,0.0,0.0,2,3.0,1.0,0.0,24.0,250
14,4.0,3.0,3.0,1.0,3.0,2,3.0,1.0,0.0,24.0,300
14,4.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,24.0,150
14,4.0,4.0,3.0,1.0,3.0,1,3.0,1.0,0.0,24.0,400
3,1.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,18.0,200
3,1.0,3.0,3.0,1.0,3.0,1,4.0,1.0,0.0,27.0,9999999
3,6.0,3.0,1.0,0.0,2.0,3,2.0,1.0,0.0,9999999.0,0
3,6.0,3.0,1.0,0.0,2.0,3,1.0,1.0,0.0,6.0,250
12,4.0,4.0,3.0,1.0,2.0,1,4.0,1.0,1.0,33.03,9999999
13,4.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,18.0,0
3,6.0,2.0,3.0,0.0,0.0,2,2.0,1.0,0.0,7.0,0
12,4.0,3.0,3.0,1.0,3.0,1,4.0,1.0,1.0,33.03,400
13,4.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,18.0,300
12,4.0,3.0,3.0,1.0,3.0,1,4.0,1.0,1.0,33.03,500
13,4.0,3.0,3.0,1.0,0.0,1,3.0,1.0,0.0,18.0,400
12,4.0,3.0,3.0,1.0,2.0,1,4.0,1.0,1.0,33.03,0
13,4.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,18.0,580
12,4.0,3.0,3.0,0.0,3.0,3,4.0,1.0,1.0,33.03,250
12,4.0,3.0,3.0,1.0,3.0,1,4.0,1.0,1.0,33.03,500
13,4.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,18.0,480
12,4.0,3.0,3.0,1.0,1.0,1,4.0,1.0,1.0,33.03,9999999
12,4.0,3.0,3.0,1.0,1.0,1,4.0,1.0,1.0,33.03,500
14,4.0,4.0,3.0,1.0,2.0,1,3.0,1.0,0.0,26.0,200
14,4.0,2.0,3.0,1.0,0.0,1,2.0,1.0,0.0,20.0,350
14,4.0,4.0,3.0,1.0,2.0,1,3.0,1.0,0.0,26.0,200
14,4.0,3.0,1.0,1.0,0.0,1,3.0,1.0,0.0,26.0,900
14,4.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,26.0,200
14,4.0,3.0,3.0,0.0,2.0,3,2.0,1.0,0.0,20.0,300
14,4.0,3.0,3.0,1.0,2.0,1,2.0,1.0,0.0,20.0,200
7,2.0,2.0,1.0,0.0,2.0,3,1.0,1.0,0.0,5.0,0
5,2.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,18.0,450
5,2.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,16.0,350
5,2.0,3.0,3.0,0.0,3.0,2,3.0,1.0,0.0,18.0,500
7,2.0,2.0,3.0,0.0,3.0,3,2.0,0.0,1.0,12.0,260
5,2.0,2.0,1.0,0.0,0.0,2,1.0,1.0,0.0,12.0,250
5,2.0,3.0,3.0,0.0,2.0,2,3.0,1.0,0.0,17.0,300
7,1.0,2.0,2.0,0.0,2.0,7,3.0,0.0,1.0,18.0,0
5,5.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,20.0,400
5,5.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,20.0,400
5,5.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,20.0,0
5,5.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,20.0,500
5,5.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,20.0,0
7,2.0,1.0,3.0,0.0,0.0,3,1.0,0.0,1.0,9.0,200
7,2.0,2.0,2.0,1.0,2.0,1,3.0,0.0,1.0,25.0,0
7,1.0,1.0,2.0,1.0,2.0,1,2.0,0.0,1.0,18.0,0
7,2.0,3.0,2.0,0.0,0.0,7,2.0,0.0,1.0,14.0,0
7,2.0,1.0,3.0,0.0,2.0,3,1.0,0.0,1.0,6.0,0
7,2.0,3.0,3.0,0.0,3.0,3,2.0,0.0,1.0,15.0,350
7,2.0,3.0,3.0,0.0,2.0,7,2.0,0.0,1.0,20.0,0
4,4.0,3.0,3.0,0.0,0.0,3,2.0,0.0,1.0,13.0,0
4,4.0,3.0,2.0,0.0,2.0,3,2.0,0.0,1.0,13.0,0
4,4.0,3.0,2.0,0.0,2.0,3,2.0,0.0,1.0,13.0,0
4,4.0,4.0,2.0,0.0,2.0,3,2.0,0.0,1.0,13.0,0
4,4.0,3.0,1.0,0.0,2.0,3,2.0,0.0,1.0,13.0,0
5,2.0,2.0,3.0,0.0,3.0,3,2.0,1.0,0.0,10.0,100
4,4.0,3.0,3.0,0.0,2.0,3,2.0,0.0,1.0,13.0,350
5,2.0,3.0,3.0,0.0,3.0,7,4.0,1.0,0.0,24.0,200
4,4.0,3.0,1.0,0.0,2.0,3,2.0,0.0,1.0,13.0,0
5,2.0,3.0,2.0,0.0,2.0,2,1.0,1.0,0.0,10.0,130
5,2.0,3.0,2.0,1.0,2.0,1,3.0,1.0,0.0,28.0,0
4,4.0,3.0,2.0,0.0,2.0,3,2.0,0.0,1.0,13.0,0
5,2.0,3.0,1.0,0.0,2.0,2,3.0,1.0,1.0,28.0,0
4,4.0,3.0,3.0,0.0,2.0,3,2.0,0.0,1.0,13.0,0
4,4.0,3.0,3.0,0.0,2.0,3,2.0,0.0,1.0,13.0,250
5,2.0,3.0,3.0,1.0,2.0,1,2.0,1.0,0.0,24.0,0
5,2.0,3.0,3.0,1.0,1.0,1,4.0,1.0,0.0,30.0,0
5,2.0,3.0,3.0,0.0,2.0,3,2.0,1.0,0.0,15.0,150
5,6.0,3.0,3.0,0.0,0.0,2,2.0,1.0,0.0,15.0,300
5,2.0,3.0,3.0,0.0,3.0,3,3.0,1.0,0.0,20.0,300
3,2.0,2.0,3.0,0.0,2.0,2,2.0,1.0,0.0,12.0,9999999
4,4.0,3.0,3.0,1.0,3.0,1,3.0,0.0,1.0,33.0,500
3,6.0,3.0,3.0,0.0,3.0,2,3.0,1.0,0.0,9999999.0,200
4,4.0,3.0,3.0,1.0,1.0,1,3.0,0.0,1.0,32.0,600
4,4.0,3.0,3.0,1.0,3.0,1,3.0,0.0,1.0,32.0,500
4,4.0,3.0,3.0,1.0,1.0,1,3.0,0.0,1.0,33.0,500
4,4.0,3.0,3.0,1.0,3.0,1,3.0,0.0,1.0,32.0,500
3,6.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,18.0,150
4,4.0,3.0,3.0,1.0,3.0,1,3.0,0.0,1.0,32.0,500
3,6.0,3.0,3.0,0.0,3.0,2,3.0,1.0,0.0,15.0,400
3,2.0,3.0,3.0,0.0,3.0,3,2.0,1.0,0.0,10.0,300
11,4.0,4.0,3.0,1.0,2.0,1,3.0,1.0,0.0,25.0,9999999
11,4.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,25.5,400
11,4.0,4.0,3.0,1.0,3.0,1,3.0,1.0,0.0,25.8,1100
5,1.0,3.0,2.0,0.0,2.0,3,2.0,1.0,0.0,13.0,120
11,4.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,25.8,1000
5,1.0,2.0,2.0,0.0,2.0,2,3.0,1.0,0.0,18.0,0
5,1.0,2.0,2.0,0.0,2.0,2,2.0,1.0,0.0,8.0,0
5,1.0,3.0,2.0,0.0,2.0,3,3.0,1.0,0.0,12.0,0
11,4.0,4.0,3.0,1.0,0.0,1,3.0,1.0,0.0,25.8,9999999
5,1.0,1.0,1.0,0.0,2.0,2,2.0,1.0,0.0,7.0,0
5,1.0,1.0,2.0,0.0,2.0,3,1.0,1.0,0.0,8.0,0
14,4.0,3.0,3.0,1.0,1.0,1,3.0,1.0,0.0,34.8,520
5,1.0,2.0,1.0,0.0,0.0,2,2.0,1.0,0.0,8.0,200
5,1.0,2.0,1.0,0.0,2.0,3,2.0,1.0,0.0,9.0,150
5,1.0,2.0,1.0,0.0,2.0,3,2.0,1.0,0.0,10.0,0
5,1.0,3.0,3.0,0.0,3.0,2,2.0,1.0,0.0,8.0,400
4,4.0,3.0,3.0,1.0,2.0,1,3.0,0.0,1.0,32.0,300
4,4.0,3.0,3.0,1.0,3.0,1,3.0,0.0,1.0,32.0,500
4,4.0,3.0,3.0,1.0,3.0,1,3.0,0.0,1.0,32.0,400
4,4.0,3.0,3.0,1.0,3.0,1,3.0,0.0,1.0,32.0,600
16,1.0,3.0,3.0,0.0,2.0,7,2.0,1.0,0.0,9999999.0,9999999
16,1.0,2.0,3.0,1.0,3.0,1,3.0,1.0,0.0,9999999.0,9999999
16,1.0,3.0,2.0,1.0,2.0,1,2.0,1.0,0.0,15.0,120
4,4.0,3.0,3.0,1.0,3.0,1,3.0,0.0,1.0,32.0,1000
4,4.0,4.0,3.0,1.0,3.0,7,3.0,0.0,1.0,32.0,500
4,4.0,3.0,3.0,1.0,2.0,1,3.0,0.0,1.0,32.0,400
4,4.0,3.0,3.0,1.0,2.0,1,3.0,0.0,1.0,32.0,0
11,4.0,4.0,3.0,1.0,3.0,1,3.0,1.0,0.0,25.8,700
11,4.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,25.8,300
11,4.0,4.0,3.0,1.0,3.0,1,3.0,1.0,0.0,25.8,9999999
10,4.0,3.0,3.0,1.0,3.0,1,2.0,1.0,0.0,14.0,500
11,4.0,4.0,3.0,1.0,1.0,1,3.0,1.0,0.0,25.8,300
11,4.0,3.0,3.0,0.0,3.0,2,3.0,1.0,0.0,25.8,9999999
10,4.0,2.0,3.0,0.0,3.0,2,2.0,1.0,0.0,14.0,300
10,4.0,2.0,1.0,0.0,0.0,2,2.0,1.0,0.0,14.0,350
10,4.0,2.0,3.0,1.0,0.0,1,2.0,1.0,0.0,14.0,350
10,4.0,2.0,3.0,0.0,3.0,3,2.0,1.0,0.0,14.0,350
4,4.0,3.0,3.0,1.0,3.0,1,3.0,0.0,1.0,32.0,500
4,4.0,4.0,3.0,1.0,3.0,1,3.0,0.0,1.0,32.0,600
4,4.0,3.0,3.0,0.0,3.0,2,3.0,0.0,1.0,32.0,9999999
4,4.0,3.0,3.0,1.0,1.0,1,3.0,0.0,1.0,32.0,700
4,4.0,3.0,3.0,1.0,0.0,1,3.0,0.0,1.0,32.0,400
4,4.0,3.0,3.0,0.0,3.0,2,3.0,0.0,1.0,32.0,500
3,2.0,3.0,2.0,0.0,2.0,3,1.0,0.0,1.0,5.0,0
3,2.0,3.0,3.0,1.0,3.0,1,4.0,1.0,0.0,12.0,27
14,4.0,2.0,3.0,0.0,3.0,2,3.0,1.0,0.0,30.0,680
5,5.0,4.0,3.0,1.0,3.0,1,3.0,1.0,0.0,17.0,400
5,5.0,3.0,3.0,0.0,3.0,7,3.0,1.0,0.0,17.0,500
5,5.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,17.0,0
5,5.0,3.0,3.0,1.0,0.0,1,3.0,1.0,0.0,17.0,300
12,2.0,3.0,3.0,0.0,2.0,2,3.0,1.0,1.0,25.7,0
5,5.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,18.0,170
11,4.0,3.0,3.0,1.0,2.0,1,4.0,1.0,0.0,34.8,9999999
12,2.0,4.0,3.0,1.0,2.0,2,3.0,1.0,1.0,28.0,300
5,5.0,4.0,3.0,1.0,2.0,1,2.0,1.0,0.0,15.0,200
11,4.0,3.0,2.0,1.0,2.0,1,4.0,1.0,0.0,34.8,0
7,2.0,1.0,3.0,0.0,2.0,3,2.0,0.0,1.0,12.0,0
5,5.0,4.0,3.0,1.0,2.0,1,3.0,1.0,0.0,17.0,0
12,6.0,3.0,3.0,1.0,3.0,1,3.0,1.0,1.0,28.0,300
7,2.0,2.0,3.0,0.0,3.0,3,2.0,0.0,1.0,14.0,9999999
7,2.0,2.0,3.0,0.0,2.0,3,1.0,0.0,1.0,6.0,200
7,2.0,3.0,3.0,1.0,2.0,1,3.0,0.0,1.0,22.0,0
7,2.0,2.0,3.0,0.0,3.0,3,2.0,0.0,1.0,15.0,300
5,5.0,4.0,3.0,1.0,2.0,1,3.0,1.0,0.0,17.0,0
7,2.0,3.0,3.0,0.0,3.0,2,2.0,0.0,1.0,13.0,400
11,4.0,4.0,3.0,1.0,3.0,1,4.0,1.0,0.0,34.8,700
7,2.0,3.0,3.0,1.0,2.0,1,3.0,0.0,1.0,32.0,9999999
7,6.0,3.0,3.0,1.0,2.0,1,2.0,0.0,1.0,17.0,30
7,6.0,3.0,3.0,1.0,2.0,1,2.0,0.0,1.0,18.0,0
7,6.0,3.0,3.0,1.0,2.0,1,3.0,0.0,1.0,17.0,300
12,6.0,3.0,3.0,1.0,3.0,1,3.0,1.0,1.0,23.0,600
12,6.0,3.0,3.0,1.0,3.0,1,3.0,1.0,1.0,32.0,300
11,4.0,3.0,3.0,1.0,2.0,1,4.0,1.0,0.0,34.8,0
12,6.0,3.0,3.0,1.0,3.0,1,3.0,1.0,1.0,23.0,400
11,4.0,3.0,3.0,1.0,2.0,1,4.0,1.0,0.0,34.8,0
12,2.0,2.0,3.0,0.0,0.0,2,2.0,1.0,1.0,17.0,400
5,5.0,4.0,3.0,1.0,3.0,1,3.0,1.0,0.0,17.0,600
12,6.0,3.0,3.0,1.0,2.0,1,3.0,1.0,1.0,18.5,0
5,5.0,4.0,3.0,1.0,3.0,1,2.0,1.0,0.0,15.0,300
20,2.0,3.0,2.0,1.0,2.0,1,4.0,1.0,0.0,25.0,200
12,6.0,3.0,3.0,1.0,3.0,1,3.0,1.0,1.0,18.5,500
10,4.0,2.0,3.0,1.0,3.0,1,3.0,1.0,0.0,15.0,180
12,6.0,3.0,3.0,1.0,2.0,1,3.0,1.0,1.0,23.5,250
20,2.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,17.0,0
20,2.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,17.0,30
20,2.0,3.0,2.0,1.0,2.0,1,2.0,1.0,0.0,14.0,0
20,1.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,17.0,200
10,4.0,2.0,1.0,1.0,2.0,1,3.0,1.0,0.0,14.9,100
20,2.0,3.0,1.0,0.0,2.0,3,1.0,1.0,0.0,7.0,0
20,2.0,3.0,3.0,0.0,2.0,3,3.0,1.0,0.0,17.0,35
20,1.0,2.0,2.0,0.0,2.0,2,1.0,1.0,0.0,6.0,0
20,2.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,30.0,0
20,2.0,3.0,1.0,0.0,2.0,2,2.0,1.0,0.0,14.0,200
10,4.0,2.0,3.0,1.0,3.0,1,2.0,1.0,0.0,14.0,400
14,4.0,3.0,3.0,0.0,3.0,2,3.0,1.0,0.0,34.8,490
11,4.0,4.0,2.0,1.0,2.0,1,4.0,1.0,0.0,34.8,0
11,4.0,3.0,3.0,1.0,2.0,1,4.0,1.0,0.0,34.8,9999999
11,4.0,3.0,3.0,1.0,3.0,1,4.0,1.0,0.0,34.8,1000
13,5.0,4.0,3.0,1.0,2.0,1,1.0,1.0,0.0,13.0,480
11,4.0,3.0,3.0,0.0,3.0,2,4.0,1.0,0.0,34.8,9999999
11,4.0,4.0,3.0,1.0,3.0,1,4.0,1.0,0.0,34.8,9999999
13,5.0,3.0,3.0,0.0,0.0,2,1.0,1.0,0.0,13.0,560
13,5.0,3.0,2.0,0.0,0.0,3,1.0,1.0,0.0,13.0,350
5,6.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,23.0,310
5,6.0,3.0,3.0,0.0,2.0,2,3.0,1.0,0.0,23.0,500
12,6.0,3.0,2.0,1.0,0.0,1,2.0,0.0,1.0,12.8,300
14,4.0,3.0,3.0,1.0,1.0,1,3.0,1.0,0.0,34.8,632
5,2.0,3.0,3.0,0.0,0.0,2,3.0,1.0,0.0,23.0,200
14,4.0,3.0,3.0,1.0,3.0,2,3.0,1.0,0.0,34.8,587
5,6.0,3.0,3.0,0.0,2.0,2,3.0,1.0,0.0,23.0,0
5,2.0,3.0,1.0,0.0,0.0,2,1.0,1.0,0.0,7.0,200
5,2.0,3.0,1.0,0.0,0.0,3,1.0,1.0,0.0,7.0,200
5,2.0,3.0,1.0,0.0,2.0,3,1.0,1.0,0.0,7.0,0
5,2.0,3.0,2.0,0.0,0.0,3,1.0,1.0,0.0,7.0,180
10,4.0,3.0,3.0,1.0,2.0,1,2.0,1.0,0.0,14.0,300
10,4.0,2.0,3.0,0.0,0.0,2,2.0,1.0,0.0,14.0,330
